,name,lat,lng,capital,tag,prime
0,Madrid,40.4167,-3.7167,Spain,madrid,is_city
2,Sevilla,37.39,-5.99,Spain,sevilla,is_city
3,Malaga,36.7194,-4.42,Spain,malaga,is_city
4,Valencia,39.47,-0.3764,Spain,valencia,is_city
5,Zaragoza,41.6483,-0.883,Spain,zaragoza,is_city
6,Palma,39.5667,2.65,Spain,palma,is_city
7,Murcia,37.9861,-1.1303,Spain,murcia,is_city
8,Las Palmas,28.1272,-15.4314,Spain,las palmas,is_city
9,A Coruna,43.3713,-8.4188,Spain,a coruna,is_city
10,Bilbao,43.2569,-2.9236,Spain,bilbao,is_city
11,Alicante,38.3453,-0.4831,Spain,alicante,is_city
12,Cordoba,37.8845,-4.7796,Spain,cordoba,is_city
13,Valladolid,41.6528,-4.7236,Spain,valladolid,is_city
14,Vigo,42.2314,-8.7124,Spain,vigo,is_city
15,Gijon,43.5333,-5.7,Spain,gijon,is_city
16,Vitoria-Gasteiz,42.85,-2.6833,Spain,vitoria-gasteiz,is_city
17,Elche,38.2669,-0.6983,Spain,elche,is_city
18,Granada,37.1781,-3.6008,Spain,granada,is_city
19,Tarrasa,41.5611,2.0081,Spain,tarrasa,is_city
20,Badalona,41.4333,2.2333,Spain,badalona,is_city
21,Oviedo,43.36,-5.845,Spain,oviedo,is_city
22,Petrel,38.4789,-0.7967,Spain,petrel,is_city
23,Sabadell,41.5483,2.1075,Spain,sabadell,is_city
24,Cartagena,37.6,-0.9819,Spain,cartagena,is_city
25,Jerez de la Frontera,36.6817,-6.1378,Spain,jerez de la frontera,is_city
26,Santa Cruz,28.4667,-16.25,Spain,santa cruz,is_city
27,Pamplona,42.8167,-1.65,Spain,pamplona,is_city
28,Leon,42.6056,-5.57,Spain,leon,is_city
29,Almeria,36.8403,-2.4681,Spain,almeria,is_city
30,Logrono,42.465,-2.4456,Spain,logrono,is_city
31,Fuenlabrada,40.2833,-3.8,Spain,fuenlabrada,is_city
32,Leganes,40.3281,-3.7644,Spain,leganes,is_city
33,Donostia,43.32,-1.98,Spain,donostia,is_city
34,Mataro,41.5421,2.4445,Spain,mataro,is_city
35,Albacete,38.9956,-1.8558,Spain,albacete,is_city
36,Castellon de la Plana,39.9831,-0.0331,Spain,castellon de la plana,is_city
37,Santander,43.4628,-3.805,Spain,santander,is_city
38,Getafe,40.3047,-3.7311,Spain,getafe,is_city
39,Alcorcon,40.35,-3.8333,Spain,alcorcon,is_city
40,Burgos,42.35,-3.6822,Spain,burgos,is_city
41,Guadalajara,40.6337,-3.1674,Spain,guadalajara,is_city
42,La Laguna,28.4853,-16.3167,Spain,la laguna,is_city
43,Badajoz,38.8803,-6.9753,Spain,badajoz,is_city
44,Marbella,36.5167,-4.8833,Spain,marbella,is_city
45,Salamanca,40.9667,-5.6639,Spain,salamanca,is_city
46,Huelva,37.25,-6.95,Spain,huelva,is_city
47,Ciudad de Melilla,35.2937,-2.9383,Spain,ciudad de melilla,is_city
48,Tarragona,41.1187,1.2453,Spain,tarragona,is_city
49,Dos Hermanas,37.2836,-5.9222,Spain,dos hermanas,is_city
50,Torrejon de Ardoz,40.4614,-3.4978,Spain,torrejon de ardoz,is_city
51,Algeciras,36.1275,-5.4539,Spain,algeciras,is_city
52,Cadiz,36.535,-6.2975,Spain,cadiz,is_city
53,Jaen,37.7667,-3.7711,Spain,jaen,is_city
54,Reus,41.1549,1.1087,Spain,reus,is_city
55,Girona,41.9833,2.8167,Spain,girona,is_city
56,San Vicente de Baracaldo,43.2972,-2.9917,Spain,san vicente de baracaldo,is_city
57,Lugo,43.0167,-7.55,Spain,lugo,is_city
58,Roquetas de Mar,36.7642,-2.6147,Spain,roquetas de mar,is_city
59,Caceres,39.4833,-6.3667,Spain,caceres,is_city
60,Las Rozas de Madrid,40.4917,-3.8733,Spain,las rozas de madrid,is_city
61,Lorca,37.6798,-1.6944,Spain,lorca,is_city
62,San Fernando,36.4667,-6.2,Spain,san fernando,is_city
63,San Cugat del Valles,41.4735,2.0852,Spain,san cugat del valles,is_city
64,Santiago de Compostela,42.8778,-8.5444,Spain,santiago de compostela,is_city
65,San Sebastian de los Reyes,40.5469,-3.6258,Spain,san sebastian de los reyes,is_city
66,Vaciamadrid,40.3394,-3.5181,Spain,vaciamadrid,is_city
67,El Puerto de Santa Maria,36.6,-6.2167,Spain,el puerto de santa maria,is_city
68,Toledo,39.8567,-4.0244,Spain,toledo,is_city
69,Mijas,36.6,-4.6333,Spain,mijas,is_city
70,Chiclana de la Frontera,36.4167,-6.15,Spain,chiclana de la frontera,is_city
71,Torrevieja,37.9778,-0.6833,Spain,torrevieja,is_city
72,San Baudilio de Llobregat,41.3458,2.0417,Spain,san baudilio de llobregat,is_city
73,Ciudad de Ceuta,35.8867,-5.3,Spain,ciudad de ceuta,is_city
74,Torrente,39.4365,-0.4679,Spain,torrente,is_city
75,El Ejido,36.7831,-2.8167,Spain,el ejido,is_city
76,Pontevedra,42.4333,-8.6333,Spain,pontevedra,is_city
77,Fuengirola,36.5417,-4.625,Spain,fuengirola,is_city
78,Arona,28.0996,-16.6809,Spain,arona,is_city
79,Velez-Malaga,36.7833,-4.1,Spain,velez-malaga,is_city
80,Rubi,41.4933,2.0325,Spain,rubi,is_city
81,Manresa,41.7264,1.8292,Spain,manresa,is_city
82,Aviles,43.5561,-5.9083,Spain,aviles,is_city
83,Valdemoro,40.1908,-3.6742,Spain,valdemoro,is_city
84,Gandia,38.9667,-0.1833,Spain,gandia,is_city
85,Alcala de Guadaira,37.3333,-5.85,Spain,alcala de guadaira,is_city
86,Molina de Segura,38.0548,-1.2131,Spain,molina de segura,is_city
87,Majadahonda,40.4728,-3.8722,Spain,majadahonda,is_city
88,Paterna,39.5028,-0.4406,Spain,paterna,is_city
89,Benidorm,38.5342,-0.1314,Spain,benidorm,is_city
90,Sanlucar de Barrameda,36.7667,-6.35,Spain,sanlucar de barrameda,is_city
91,Torremolinos,36.6218,-4.5003,Spain,torremolinos,is_city
92,Benalmadena,36.6,-4.5167,Spain,benalmadena,is_city
93,Villanueva y Geltru,41.2243,1.7259,Spain,villanueva y geltru,is_city
94,Castelldefels,41.28,1.9767,Spain,castelldefels,is_city
95,Viladecans,41.3158,2.0194,Spain,viladecans,is_city
96,Sagunto,39.6764,-0.2733,Spain,sagunto,is_city
97,Ferrol,43.4844,-8.2328,Spain,ferrol,is_city
98,El Prat de Llobregat,41.3246,2.0953,Spain,el prat de llobregat,is_city
99,Arrecife,28.9625,-13.5506,Spain,arrecife,is_city
100,Collado-Villalba,40.6333,-4.0083,Spain,collado-villalba,is_city
101,La Linea de la Concepcion,36.1611,-5.3486,Spain,la linea de la concepcion,is_city
102,Irun,43.3378,-1.7888,Spain,irun,is_city
103,Granollers,41.6083,2.2889,Spain,granollers,is_city
104,Zamora,41.5033,-5.7556,Spain,zamora,is_city
105,Merida,38.9,-6.3333,Spain,merida,is_city
106,Alcoy,38.6983,-0.4736,Spain,alcoy,is_city
107,San Vicente del Raspeig,38.3964,-0.5253,Spain,san vicente del raspeig,is_city
108,Motril,36.75,-3.5167,Spain,motril,is_city
109,Avila,40.65,-4.6833,Spain,avila,is_city
110,Linares,38.0833,-3.6333,Spain,linares,is_city
111,Cuenca,40.0667,-2.15,Spain,cuenca,is_city
112,Huesca,42.1333,-0.4167,Spain,huesca,is_city
113,San Bartolome,27.9254,-15.5726,Spain,san bartolome,is_city
114,Pinto,40.25,-3.7,Spain,pinto,is_city
115,Elda,38.4789,-0.7967,Spain,elda,is_city
116,Colmenar Viejo,40.6589,-3.7658,Spain,colmenar viejo,is_city
117,Mollet,41.5356,2.2107,Spain,mollet,is_city
118,Torrelavega,43.3531,-4.0458,Spain,torrelavega,is_city
119,Pola de Siero,43.3833,-5.65,Spain,pola de siero,is_city
120,Villareal,39.9378,-0.1014,Spain,villareal,is_city
121,Granadilla de Abona,28.1167,-16.5833,Spain,granadilla de abona,is_city
122,Ibiza,38.9089,1.4328,Spain,ibiza,is_city
123,Utrera,37.183,-5.767,Spain,utrera,is_city
124,Adeje,28.1167,-16.7167,Spain,adeje,is_city
125,Rincon de la Victoria,36.7167,-4.2833,Spain,rincon de la victoria,is_city
126,Figueras,42.2667,2.965,Spain,figueras,is_city
127,Esplugas de Llobregat,41.3767,2.0858,Spain,esplugas de llobregat,is_city
128,Gava,41.3072,2.0039,Spain,gava,is_city
129,Puertollano,38.6833,-4.1167,Spain,puertollano,is_city
130,Mairena del Aljarafe,37.3333,-6.0667,Spain,mairena del aljarafe,is_city
131,Santurce-Antiguo,43.3303,-3.0314,Spain,santurce-antiguo,is_city
132,Portugalete,43.3194,-3.0194,Spain,portugalete,is_city
133,San Feliu de Llobregat,41.3833,2.0439,Spain,san feliu de llobregat,is_city
134,Alcira,39.15,-0.435,Spain,alcira,is_city
135,Manacor,39.57,3.2089,Spain,manacor,is_city
136,Mislata,39.475,-0.4156,Spain,mislata,is_city
137,Denia,38.8444,0.1111,Spain,denia,is_city
138,Lucena,37.4,-4.4833,Spain,lucena,is_city
139,Alcantarilla,37.9722,-1.2094,Spain,alcantarilla,is_city
140,La Orotava,28.3667,-16.5167,Spain,la orotava,is_city
141,Puerto del Rosario,28.5,-13.8667,Spain,puerto del rosario,is_city
142,Puerto Real,36.5292,-6.1919,Spain,puerto real,is_city
143,Antequera,37.0183,-4.5597,Spain,antequera,is_city
144,Alhaurin de la Torre,36.6667,-4.55,Spain,alhaurin de la torre,is_city
145,Igualada,41.5814,1.6208,Spain,igualada,is_city
146,Villafranca del Panades,41.3447,1.6994,Spain,villafranca del panades,is_city
147,Blanes,41.674,2.7921,Spain,blanes,is_city
148,Ecija,37.5333,-5.0833,Spain,ecija,is_city
149,Plasencia,40.0275,-6.0908,Spain,plasencia,is_city
150,San Fernando de Henares,40.4256,-3.5353,Spain,san fernando de henares,is_city
151,Santa Eulalia del Rio,38.9847,1.5336,Spain,santa eulalia del rio,is_city
152,Sama,43.3,-5.6833,Spain,sama,is_city
153,Lloret de Mar,41.7,2.8333,Spain,lloret de mar,is_city
154,Naron,43.55,-8.15,Spain,naron,is_city
155,Burjasot,39.5064,-0.4067,Spain,burjasot,is_city
156,Los Palacios y Villafranca,37.1625,-5.9242,Spain,los palacios y villafranca,is_city
157,Vendrell,41.2201,1.5348,Spain,vendrell,is_city
158,Ripollet,41.4969,2.1574,Spain,ripollet,is_city
159,Lluchmayor,39.49,2.8915,Spain,lluchmayor,is_city
160,Marratxi,39.6421,2.7527,Spain,marratxi,is_city
161,Villagarcia de Arosa,42.5977,-8.7632,Spain,villagarcia de arosa,is_city
162,Mieres,43.2508,-5.7767,Spain,mieres,is_city
