,name,lat,lng,capital,tag,prime
0,Lisbon,38.7452,-9.1604,Portugal,lisbon,is_city
1,Sintra,38.7974,-9.3904,Portugal,sintra,is_city
2,Vila Nova de Gaia,41.1333,-8.6167,Portugal,vila nova de gaia,is_city
3,Porto,41.1495,-8.6108,Portugal,porto,is_city
4,Braga,41.5333,-8.4167,Portugal,braga,is_city
5,Matosinhos,41.2077,-8.6674,Portugal,matosinhos,is_city
6,Amadora,38.75,-9.2333,Portugal,amadora,is_city
7,Almada,38.6803,-9.1583,Portugal,almada,is_city
8,Oeiras,38.697,-9.3017,Portugal,oeiras,is_city
10,Guimaraes,41.445,-8.2908,Portugal,guimaraes,is_city
11,Odivelas,38.8,-9.1833,Portugal,odivelas,is_city
12,Coimbra,40.2111,-8.4291,Portugal,coimbra,is_city
13,Vila Franca de Xira,38.95,-8.9833,Portugal,vila franca de xira,is_city
14,Maia,41.2333,-8.6167,Portugal,maia,is_city
15,Setubal,38.5243,-8.8926,Portugal,setubal,is_city
16,Funchal,32.65,-16.9167,Portugal,funchal,is_city
17,Viseu,40.6667,-7.9167,Portugal,viseu,is_city
18,Valongo,41.1833,-8.5,Portugal,valongo,is_city
19,Viana do Castelo,41.7,-8.8333,Portugal,viana do castelo,is_city
20,Paredes,41.2,-8.3333,Portugal,paredes,is_city
21,Vila do Conde,41.35,-8.75,Portugal,vila do conde,is_city
22,Torres Vedras,39.0833,-9.2667,Portugal,torres vedras,is_city
23,Aveiro,40.6389,-8.6553,Portugal,aveiro,is_city
24,Queluz,38.7566,-9.2545,Portugal,queluz,is_city
25,Mafra,38.9333,-9.3333,Portugal,mafra,is_city
27,Loule,37.144,-8.0235,Portugal,loule,is_city
28,Ponta Delgada,37.74,-25.67,Portugal,ponta delgada,is_city
29,Moita,38.65,-8.9833,Portugal,moita,is_city
30,Faro,37.0161,-7.935,Portugal,faro,is_city
31,Povoa de Varzim,41.3916,-8.7571,Portugal,povoa de varzim,is_city
32,Palmela,38.5667,-8.9,Portugal,palmela,is_city
33,Santarem,39.2369,-8.685,Portugal,santarem,is_city
34,Figueira da Foz,40.1508,-8.8618,Portugal,figueira da foz,is_city
35,Felgueiras,41.3667,-8.2,Portugal,felgueiras,is_city
36,Pacos de Ferreira,41.2833,-8.3833,Portugal,pacos de ferreira,is_city
37,Castelo Branco,39.823,-7.4931,Portugal,castelo branco,is_city
38,Evora,38.5667,-7.9,Portugal,evora,is_city
39,Portimao,37.1333,-8.5333,Portugal,portimao,is_city
40,Pombal,39.9162,-8.6279,Portugal,pombal,is_city
41,Marco de Canavezes,41.1833,-8.15,Portugal,marco de canavezes,is_city
42,Vila Real,41.3002,-7.7398,Portugal,vila real,is_city
43,Covilha,40.2833,-7.5,Portugal,covilha,is_city
44,Caldas da Rainha,39.4069,-9.1363,Portugal,caldas da rainha,is_city
45,Montijo,38.7049,-8.9757,Portugal,montijo,is_city
46,Rio Tinto,41.1833,-8.5667,Portugal,rio tinto,is_city
47,Fafe,41.45,-8.1667,Portugal,fafe,is_city
48,Sesimbra,38.4437,-9.0996,Portugal,sesimbra,is_city
49,Amora,38.6265,-9.1189,Portugal,amora,is_city
50,Vila Verde,41.65,-8.4333,Portugal,vila verde,is_city
51,Lousada,41.2833,-8.2833,Portugal,lousada,is_city
52,Corroios,38.65,-9.15,Portugal,corroios,is_city
53,Ourem,39.65,-8.5833,Portugal,ourem,is_city
54,Olhao,37.0278,-7.8389,Portugal,olhao,is_city
55,Leiria,39.7444,-8.8072,Portugal,leiria,is_city
56,Ponte de Lima,41.7667,-8.5833,Portugal,ponte de lima,is_city
58,Guarda,40.5364,-7.2683,Portugal,guarda,is_city
59,Chaves,41.7399,-7.4707,Portugal,chaves,is_city
60,Tomar,39.6,-8.4167,Portugal,tomar,is_city
61,Ilhavo,40.6,-8.6667,Portugal,ilhavo,is_city
62,Trofa,41.3374,-8.5596,Portugal,trofa,is_city
63,Mafamude,41.1152,-8.6036,Portugal,mafamude,is_city
64,Ermezinde,41.2133,-8.5472,Portugal,ermezinde,is_city
65,Silves,37.1833,-8.4333,Portugal,silves,is_city
66,Torres Novas,39.4833,-8.5333,Portugal,torres novas,is_city
67,Beja,38.0333,-7.8833,Portugal,beja,is_city
68,Agualva,38.77,-9.2988,Portugal,agualva,is_city
69,Camara de Lobos,32.65,-16.9667,Portugal,camara de lobos,is_city
70,Angra do Heroismo,38.6558,-27.2153,Portugal,angra do heroismo,is_city
71,Braganca,41.8,-6.75,Portugal,braganca,is_city
72,Esposende,41.5333,-8.7833,Portugal,esposende,is_city
73,Ribeira Grande,37.8167,-25.5167,Portugal,ribeira grande,is_city
74,Espinho,41.01,-8.64,Portugal,espinho,is_city
75,Lagos,37.1,-8.6667,Portugal,lagos,is_city
76,Anadia,40.4333,-8.4333,Portugal,anadia,is_city
78,Massama,38.7568,-9.2748,Portugal,massama,is_city
79,Estarreja,40.75,-8.5667,Portugal,estarreja,is_city
80,Lamego,41.0833,-7.8667,Portugal,lamego,is_city
81,Estoril,38.7057,-9.3977,Portugal,estoril,is_city
82,Montemor-o-Velho,40.1667,-8.6833,Portugal,montemor-o-velho,is_city
83,Tavira,37.1309,-7.6506,Portugal,tavira,is_city
84,Odemira,37.5833,-8.6333,Portugal,odemira,is_city
85,Albergaria-a-Velha,40.6936,-8.4806,Portugal,albergaria-a-velha,is_city
86,Portalegre,39.3167,-7.4167,Portugal,portalegre,is_city
87,Porto de Mos,39.6,-8.8167,Portugal,porto de mos,is_city
88,Mirandela,41.4833,-7.1833,Portugal,mirandela,is_city
89,Vizela,41.3833,-8.3,Portugal,vizela,is_city
90,Canico,32.6412,-16.8504,Portugal,canico,is_city
91,Oliveira do Bairro,40.5167,-8.5,Portugal,oliveira do bairro,is_city
92,Vale de Cambra,40.85,-8.4,Portugal,vale de cambra,is_city
93,Arcos de Valdevez,41.85,-8.4167,Portugal,arcos de valdevez,is_city
94,Povoa de Lanhoso,41.5667,-8.2667,Portugal,povoa de lanhoso,is_city
95,Azambuja,39.0667,-8.8667,Portugal,azambuja,is_city
96,Sao Joao da Madeira,40.9,-8.5,Portugal,sao joao da madeira,is_city
97,Cacem,38.7704,-9.3081,Portugal,cacem,is_city
98,Rio Maior,39.3333,-8.9333,Portugal,rio maior,is_city
99,Praia da Vitoria,38.7333,-27.0667,Portugal,praia da vitoria,is_city
100,Elvas,38.88,-7.1628,Portugal,elvas,is_city
101,Baiao,41.1667,-8.0333,Portugal,baiao,is_city
102,Cinfaes,41.0667,-8.0833,Portugal,cinfaes,is_city
103,Entroncamento,39.4667,-8.4667,Portugal,entroncamento,is_city
104,Celorico de Basto,41.3869,-8.0022,Portugal,celorico de basto,is_city
105,Alfena,41.2395,-8.5244,Portugal,alfena,is_city
106,Soure,40.05,-8.6333,Portugal,soure,is_city
107,Moncao,42.0733,-8.48,Portugal,moncao,is_city
