,name,lat,lng,capital,tag,prime
0,Istanbul,41.01,28.9603,Turkey,istanbul,is_city
1,Ankara,39.93,32.85,Turkey,ankara,is_city
2,Izmir,38.4127,27.1384,Turkey,izmir,is_city
3,Bursa,40.1833,29.0667,Turkey,bursa,is_city
4,Antalya,36.9081,30.6956,Turkey,antalya,is_city
5,Konya,37.8714,32.4847,Turkey,konya,is_city
6,Adana,37.0,35.325,Turkey,adana,is_city
7,Gaziantep,37.0667,37.3833,Turkey,gaziantep,is_city
8,Sanliurfa,37.1583,38.7917,Turkey,sanliurfa,is_city
9,Mersin,36.8,34.6167,Turkey,mersin,is_city
10,Diyarbakir,37.9108,40.2367,Turkey,diyarbakir,is_city
11,Kayseri,38.7333,35.4833,Turkey,kayseri,is_city
12,Samsun,41.2867,36.33,Turkey,samsun,is_city
13,Tekirdag,40.9833,27.5167,Turkey,tekirdag,is_city
14,Denizli,37.7731,29.0878,Turkey,denizli,is_city
15,Eskisehir,39.7767,30.5206,Turkey,eskisehir,is_city
16,Trabzon,41.005,39.7225,Turkey,trabzon,is_city
17,Erzurum,39.9097,41.2756,Turkey,erzurum,is_city
18,Malatya,38.3554,38.3337,Turkey,malatya,is_city
19,Batman,37.8833,41.1333,Turkey,batman,is_city
20,Kahramanmaras,37.5875,36.9453,Turkey,kahramanmaras,is_city
21,Elazig,38.6667,39.2167,Turkey,elazig,is_city
22,Hatay,36.2,36.15,Turkey,hatay,is_city
23,Sivas,39.75,37.0167,Turkey,sivas,is_city
24,Kocaeli,40.7656,29.9406,Turkey,kocaeli,is_city
25,Van,38.5019,43.4167,Turkey,van,is_city
26,Tarsus,36.9167,34.9,Turkey,tarsus,is_city
27,Balikesir,39.6511,27.8842,Turkey,balikesir,is_city
28,Alanya,36.5436,31.9997,Turkey,alanya,is_city
29,Adiyaman,37.7644,38.2763,Turkey,adiyaman,is_city
30,Afyonkarahisar,38.7581,30.5386,Turkey,afyonkarahisar,is_city
31,Iskenderun,36.5804,36.17,Turkey,iskenderun,is_city
32,Aksaray,38.3686,34.0297,Turkey,aksaray,is_city
33,Corum,40.5489,34.9533,Turkey,corum,is_city
34,Inegol,40.0806,29.5097,Turkey,inegol,is_city
35,Kutahya,39.4242,29.9833,Turkey,kutahya,is_city
36,Osmaniye,37.075,36.25,Turkey,osmaniye,is_city
37,Corlu,41.1597,27.8028,Turkey,corlu,is_city
38,Sakarya,40.7778,30.4028,Turkey,sakarya,is_city
39,Isparta,37.7667,30.55,Turkey,isparta,is_city
40,Kiziltepe,37.1939,40.5861,Turkey,kiziltepe,is_city
41,Usak,38.6833,29.4,Turkey,usak,is_city
42,Manisa,38.6131,27.4258,Turkey,manisa,is_city
43,Duzce,40.8417,31.1583,Turkey,duzce,is_city
44,Nigde,37.9667,34.6792,Turkey,nigde,is_city
45,Bolu,40.7333,31.6,Turkey,bolu,is_city
46,Tokat,40.3097,36.5542,Turkey,tokat,is_city
47,Kirikkale,39.8417,33.5139,Turkey,kirikkale,is_city
48,Viransehir,37.2306,39.7653,Turkey,viransehir,is_city
49,Karaman,37.1833,33.2167,Turkey,karaman,is_city
50,Mus,38.7333,41.4911,Turkey,mus,is_city
51,Aydin,37.8481,27.8453,Turkey,aydin,is_city
52,Canakkale,40.15,26.4,Turkey,canakkale,is_city
53,Edirne,41.6781,26.5594,Turkey,edirne,is_city
54,Torbali,38.1619,27.3583,Turkey,torbali,is_city
55,Eregli,41.2583,31.425,Turkey,eregli,is_city
56,Menemen,38.6,27.0667,Turkey,menemen,is_city
57,Siirt,37.8417,41.9458,Turkey,siirt,is_city
58,Korfez,40.7706,29.7661,Turkey,korfez,is_city
59,Turgutlu,38.5,27.7,Turkey,turgutlu,is_city
60,Golcuk,40.6667,29.8333,Turkey,golcuk,is_city
61,Salihli,38.4811,28.1392,Turkey,salihli,is_city
62,Bingol,38.8861,40.5017,Turkey,bingol,is_city
63,Fethiye,36.6206,29.1142,Turkey,fethiye,is_city
64,Talas,38.6833,35.5667,Turkey,talas,is_city
65,Erzincan,39.7464,39.4914,Turkey,erzincan,is_city
66,Zonguldak,41.4304,31.78,Turkey,zonguldak,is_city
67,Nazilli,37.9125,28.3206,Turkey,nazilli,is_city
68,Ordu,40.9833,37.8833,Turkey,ordu,is_city
69,Bartin,41.6344,32.3375,Turkey,bartin,is_city
70,Bandirma,40.3542,27.9725,Turkey,bandirma,is_city
71,Kirsehir,39.145,34.1608,Turkey,kirsehir,is_city
72,Agri,39.7225,43.0544,Turkey,agri,is_city
73,Amasya,40.65,35.8333,Turkey,amasya,is_city
74,Kastamonu,41.3833,33.7833,Turkey,kastamonu,is_city
75,Luleburgaz,41.4056,27.3569,Turkey,luleburgaz,is_city
77,Yalova,40.6556,29.275,Turkey,yalova,is_city
78,Nevsehir,38.625,34.7122,Turkey,nevsehir,is_city
79,Cizre,37.325,42.1958,Turkey,cizre,is_city
80,Nizip,37.0104,37.7985,Turkey,nizip,is_city
81,Rize,41.0167,40.5167,Turkey,rize,is_city
82,Igdir,39.9167,44.0333,Turkey,igdir,is_city
83,Giresun,40.9,38.4167,Turkey,giresun,is_city
84,Odemis,38.2311,27.9719,Turkey,odemis,is_city
85,Karabuk,41.2,32.6333,Turkey,karabuk,is_city
86,Kozan,37.4507,35.8123,Turkey,kozan,is_city
87,Cayirova,40.8265,29.3745,Turkey,cayirova,is_city
88,Unye,41.1271,37.2882,Turkey,unye,is_city
89,Polatli,39.5842,32.1472,Turkey,polatli,is_city
90,Kadirli,37.3739,36.0961,Turkey,kadirli,is_city
91,Patnos,39.2358,42.8686,Turkey,patnos,is_city
92,Dogubayazit,39.55,44.0833,Turkey,dogubayazit,is_city
93,Samandag,36.085,35.9806,Turkey,samandag,is_city
94,Kapakli,41.3333,27.9667,Turkey,kapakli,is_city
95,Kilis,36.7167,37.1167,Turkey,kilis,is_city
96,Kusadasi,37.8586,27.2594,Turkey,kusadasi,is_city
97,Akcakale,36.7108,38.9478,Turkey,akcakale,is_city
98,Burdur,37.7167,30.2833,Turkey,burdur,is_city
99,Kars,40.6069,43.0931,Turkey,kars,is_city
100,Soma,39.1833,27.6056,Turkey,soma,is_city
101,Kemalpasa,38.4261,27.4172,Turkey,kemalpasa,is_city
102,Nusaybin,37.0833,41.2167,Turkey,nusaybin,is_city
103,Yozgat,39.8208,34.8083,Turkey,yozgat,is_city
104,Bergama,39.1228,27.1783,Turkey,bergama,is_city
105,Kirklareli,41.7347,27.2253,Turkey,kirklareli,is_city
106,Reyhanli,36.2692,36.5672,Turkey,reyhanli,is_city
107,Bafra,41.5682,35.9069,Turkey,bafra,is_city
108,Cankiri,40.6,33.6167,Turkey,cankiri,is_city
109,Aliaga,38.7998,26.972,Turkey,aliaga,is_city
110,Marmaris,36.8564,28.2711,Turkey,marmaris,is_city
111,Menderes,38.254,27.134,Turkey,menderes,is_city
112,Sirnak,37.5164,42.4611,Turkey,sirnak,is_city
113,Ceylanpinar,36.9194,39.905,Turkey,ceylanpinar,is_city
114,Mardin,37.3167,40.7378,Turkey,mardin,is_city
115,Tire,38.0833,27.7333,Turkey,tire,is_city
116,Bilecik,40.1431,29.9792,Turkey,bilecik,is_city
117,Hakkari,37.5744,43.7408,Turkey,hakkari,is_city
118,Soke,37.7512,27.4103,Turkey,soke,is_city
119,Cinar,37.7256,40.4147,Turkey,cinar,is_city
120,Tatvan,38.5066,42.2816,Turkey,tatvan,is_city
121,Bitlis,38.4,42.1167,Turkey,bitlis,is_city
122,Islahiye,37.0264,36.6322,Turkey,islahiye,is_city
123,Bayburt,40.2546,40.226,Turkey,bayburt,is_city
124,Urla,38.3222,26.7647,Turkey,urla,is_city
125,Bucak,37.4592,30.595,Turkey,bucak,is_city
126,Sinop,42.0267,35.1511,Turkey,sinop,is_city
127,Caldiran,39.1419,43.9139,Turkey,caldiran,is_city
128,Mut,36.6458,33.4375,Turkey,mut,is_city
129,Derik,37.3644,40.2689,Turkey,derik,is_city
130,Uzunkopru,41.2669,26.6875,Turkey,uzunkopru,is_city
131,Bor,37.8833,34.5667,Turkey,bor,is_city
132,Kas,36.2018,29.6377,Turkey,kas,is_city
133,Gumushane,40.4597,39.4778,Turkey,gumushane,is_city
134,Mugla,37.2167,28.3667,Turkey,mugla,is_city
135,Hassa,36.8,36.53,Turkey,hassa,is_city
136,Kulu,39.0901,33.0807,Turkey,kulu,is_city
137,Kozlu,41.4333,31.75,Turkey,kozlu,is_city
138,Beypazari,40.1703,31.9211,Turkey,beypazari,is_city
139,Finike,36.3,30.15,Turkey,finike,is_city
140,Haymana,39.4311,32.4956,Turkey,haymana,is_city
141,Yatagan,37.3425,28.1393,Turkey,yatagan,is_city
142,Seferhisar,38.1975,26.8388,Turkey,seferhisar,is_city
143,Dikili,39.071,26.8902,Turkey,dikili,is_city
144,Of,40.945,40.2644,Turkey,of,is_city
145,Cesme,38.32,26.3053,Turkey,cesme,is_city
146,Kemer,36.6,30.55,Turkey,kemer,is_city
147,Ardahan,41.1167,42.7,Turkey,ardahan,is_city
148,Yakacik,36.75,36.2167,Turkey,yakacik,is_city
149,Erzin,36.9539,36.2022,Turkey,erzin,is_city
150,Bayindir,38.2192,27.6481,Turkey,bayindir,is_city
151,Tunceli,39.1061,39.5481,Turkey,tunceli,is_city
152,Emirdag,39.0197,31.15,Turkey,emirdag,is_city
153,Selcuk,37.95,27.3667,Turkey,selcuk,is_city
154,Gurpinar,38.3269,43.4133,Turkey,gurpinar,is_city
155,Yayladagi,35.9025,36.0603,Turkey,yayladagi,is_city
156,Kilimli,41.4833,31.8333,Turkey,kilimli,is_city
157,Artvin,41.1822,41.8194,Turkey,artvin,is_city
158,Ayvacik,39.6011,26.4047,Turkey,ayvacik,is_city
159,Belen,36.4917,36.1917,Turkey,belen,is_city
160,Sarikaya,39.4936,35.3769,Turkey,sarikaya,is_city
161,Kinik,39.0872,27.3833,Turkey,kinik,is_city
162,Nallihan,40.1859,31.3508,Turkey,nallihan,is_city
163,Havran,39.5583,27.0983,Turkey,havran,is_city
164,Ipsala,40.9181,26.3831,Turkey,ipsala,is_city
165,Pinarbasi,38.722,36.391,Turkey,pinarbasi,is_city
